edge_idx,source,target,weight
349,3,675,0.6747096
350,3,677,0.4939607
351,3,680,0.5060358
352,3,681,0.4751282
353,3,686,0.3729498
354,3,709,0.6173207
355,3,726,0.4052648
356,3,727,0.6465719
357,3,752,0.5659193
358,3,760,0.5278537
359,3,765,0.475723
360,3,767,0.4236831
361,3,772,0.3673077
362,3,773,0.4534385
363,3,776,0.6292569
364,3,795,0.3769858
365,3,805,0.5386166
366,3,818,0.423547
367,3,823,0.4422786
368,3,826,0.3928604
369,3,830,0.6402467
370,3,831,0.3915269
371,3,841,0.5201753
372,3,850,0.5239873
373,3,857,0.3895499
374,3,858,0.4465973
375,3,867,0.3662784
376,3,877,0.5342811
377,3,896,0.5683304
378,3,902,0.3855267
379,3,905,0.3917485
380,3,908,0.3977802
381,3,917,0.7326543
382,3,923,0.3614807
383,3,945,0.4034433
384,3,962,0.4856683
385,3,971,0.4818643
386,3,986,0.3713384
387,3,993,0.5331546
388,4,7,0.4099423
389,4,10,0.5841675
390,4,11,0.3667385
391,4,12,0.4052039
392,4,18,0.5331692
393,4,23,0.4456429
394,4,24,0.4716611
395,4,29,0.4746826
396,4,43,0.3697041
397,4,45,0.4460785
398,4,52,0.4788674
399,4,54,0.3616667
400,4,57,0.5840037
401,4,62,0.4892161
402,4,67,0.372371
403,4,78,0.4380472
404,4,80,0.467286
405,4,81,0.4425913
406,4,84,0.5049842
407,4,85,0.3735251
408,4,90,0.4980028
409,4,130,0.3652628
410,4,133,0.4643715
411,4,149,0.432825
412,4,163,0.4360743
413,4,173,0.3925599
414,4,177,0.4818728
415,4,183,0.3786797
416,4,192,0.5019319
417,4,193,0.3872116
418,4,196,0.456009
419,4,208,0.374994
420,4,277,0.5877787
421,4,279,0.5234975
422,4,292,0.4673281
423,4,293,0.3968899
424,4,294,0.4184728
425,4,305,0.3923805
426,4,322,0.4428742
427,4,393,0.5975549
428,4,394,0.6527083
429,4,405,0.5091933
430,4,413,0.4442205
431,4,426,0.4913621
432,4,443,0.4580489
433,4,453,0.4398446
434,4,476,0.4059332
435,4,498,0.5346787
436,4,508,0.4440356
437,4,541,0.4299078
438,4,559,0.4642849
439,4,581,0.5680785
440,4,587,0.4706101
441,4,593,0.3640846
442,4,594,0.5023475
443,4,623,0.5305395
444,4,624,0.6370633
445,4,637,0.4117502
446,4,659,0.4586789
447,4,660,0.4754795
448,4,664,0.3732473
449,4,675,0.5258705
450,4,677,0.4678658
451,4,681,0.3870032
452,4,686,0.367034
453,4,709,0.4334136
454,4,726,0.4457988
455,4,727,0.5043983
456,4,752,0.3792264
457,4,760,0.3889804
458,4,765,0.4665719
459,4,772,0.432909
460,4,773,0.36275
461,4,776,0.4957323
462,4,795,0.3650917
463,4,818,0.4429735
464,4,830,0.4350402
465,4,831,0.3661161
466,4,850,0.4034159
467,4,858,0.4231516
468,4,867,0.3879145
469,4,896,0.4048305
470,4,898,0.3737469
471,4,905,0.3675887
472,4,917,0.5581023
473,4,923,0.3857316
474,4,945,0.4283435
475,4,962,0.3676695
476,4,971,0.395299
477,4,986,0.3883118
478,4,993,0.3920049
479,5,193,0.3605322
480,5,771,0.3731213
481,5,782,0.3742544
482,6,7,0.3977729
483,6,8,0.4788266
484,6,11,0.4661827
485,6,41,0.5040669
486,6,52,0.5145554
487,6,84,0.5189918
488,6,85,0.5035089
489,6,90,0.505438
490,6,92,0.4938968
491,6,161,0.3917427
492,6,183,0.37903
493,6,193,0.3600048
494,6,281,0.4561482
495,6,292,0.4990007
496,6,358,0.3929406
497,6,393,0.3938268
498,6,402,0.3640475
499,6,405,0.4217647
500,6,421,0.4536338
501,6,428,0.3726178
502,6,443,0.4084319
503,6,498,0.4184064
504,6,516,0.3623345
505,6,541,0.3777522
506,6,564,0.3702421
507,6,581,0.4603938
508,6,624,0.4008209
509,6,660,0.3772424
510,6,677,0.3737788
511,6,727,0.4272768
512,6,752,0.4629915
513,6,767,0.4271294
514,6,776,0.3851405
515,6,795,0.3803139
516,6,808,0.4563344
517,6,825,0.4113674
518,6,830,0.3811279
519,6,850,0.4262491
520,6,858,0.3625754
521,6,867,0.3643394
522,6,877,0.3881536
523,6,896,0.3713227
524,6,917,0.3701107
525,6,993,0.4094709
526,7,8,0.3733552
527,7,10,0.3866789
528,7,11,0.4856429
529,7,41,0.4497474
530,7,52,0.4962109
531,7,54,0.4147139
532,7,57,0.4374653
533,7,67,0.4176857
534,7,84,0.4990214
535,7,85,0.4321374
536,7,90,0.4658759
537,7,92,0.3945231
538,7,161,0.4166303
539,7,183,0.4199154
540,7,193,0.384169
541,7,277,0.3690068
542,7,281,0.3939777
543,7,292,0.52217
544,7,322,0.4023649
545,7,358,0.4100603
546,7,405,0.4323869
547,7,428,0.4351469
548,7,443,0.4851425
549,7,453,0.4416676
550,7,474,0.3755478
551,7,498,0.4526258
552,7,516,0.4091307
553,7,527,0.3851653
554,7,541,0.4126684
555,7,556,0.375009
556,7,659,0.3684653
557,7,680,0.4118882
558,7,682,0.3647702
559,7,727,0.4001204
560,7,752,0.4177223
561,7,754,0.3767899
562,7,760,0.396587
563,7,767,0.3912104
564,7,776,0.4827576
565,7,795,0.4121765
566,7,825,0.475925
567,7,830,0.3838736
568,7,841,0.3880382
569,7,850,0.4922898
570,7,858,0.4225567
571,7,896,0.3679571
572,7,917,0.40842
573,7,993,0.3806827
574,8,10,0.4849504
575,8,11,0.765763
576,8,23,0.4546014
577,8,33,0.4789422
578,8,36,0.5348679
579,8,39,0.4566453
580,8,40,0.4334364
581,8,41,0.6991941
582,8,42,0.3720534
583,8,52,0.7344918
584,8,54,0.5653013
585,8,57,0.5642024
586,8,67,0.7454333
587,8,69,0.3878431
588,8,84,0.6950607
589,8,85,0.7246505
590,8,89,0.376923
591,8,90,0.6959357
592,8,92,0.5393804
593,8,113,0.3776035
594,8,127,0.4030107
595,8,129,0.3613346
596,8,152,0.3996335
597,8,161,0.62133
598,8,165,0.500978
599,8,173,0.5593338
600,8,177,0.640733
601,8,179,0.3868039
602,8,183,0.5764716
603,8,192,0.3991757
604,8,193,0.5416134
605,8,196,0.5954718
606,8,203,0.4196101
607,8,265,0.3950669
608,8,274,0.3735173
609,8,277,0.4960109
610,8,281,0.5393806
611,8,288,0.4507991
612,8,292,0.7456571
613,8,293,0.5692213
614,8,294,0.4270473
615,8,299,0.4269398
616,8,322,0.5540632
617,8,344,0.395611
618,8,357,0.4190531
619,8,358,0.6032101
620,8,359,0.404205
621,8,370,0.4448364
622,8,371,0.3974423
623,8,393,0.5017257
624,8,394,0.4403816
625,8,402,0.4764892
626,8,403,0.361486
627,8,405,0.6754949
628,8,409,0.4672891
629,8,411,0.4545463
